ID провайдера;Название провайдера;Логотип;Об учебном заведении;Программы обучения;Адрес;Пояснение к адресу;Телефон 1;Пояснение 1;Телефон 2;Пояснение 2;Телефон 3;Пояснение 3;Телефон 4;Пояснение 4;Телефон 5;Пояснение 5;Телефон 6;Пояснение 6;Телефон 7;Пояснение 7;Телефон 8;Пояснение 8;Телефон 9;Пояснение 9;Телефон 10;Пояснение 10;Телефон 11;Пояснение 11;Телефон 12;Пояснение 12;Телефон 13;Пояснение 13;Телефон 14;Пояснение 14;Телефон 15;Пояснение 15
106111;Университет практической психологии;https://www.ucheba.ru/pix/logo_cache/106111.upto100x100.png;"<p>Университет практической психологии проводит обучение по программе профессиональной переподготовки по направлению ""Коучинг, Психологическое консультирование и ведение тренинговых групп"". В основе программы лежат разработки профессора, доктора психологических наук Николая Ивановича Козлова, который является одним из основателей практической психологии в России.</p>";740505|745810|745812;Москва, пр. Окружной, д. 15, корп. 2;;7 499 705-56-95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106267;Paris Nail School;https://www.ucheba.ru/pix/logo_cache/106267.upto100x100.png;<p>Школа ногтевого искусства и моделирования взгляда</p>;744412|744409|744407|744411|744408|744410;Москва,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103141;EnglishDom - школа английского по скайпу;https://www.ucheba.ru/pix/logo_cache/103141.upto100x100.png;<p>Школа английского языка EnglishDom более 7 лет является лидером в сфере онлайн-образования. EnglishDom предлагает экосистему для изучения английского: индивидуальные занятия по скайпу, разговорные клубы, интерактивный онлайн-курс, мобильные приложения, а также инновационную цифровую платформу EDClass.</p>;737206|737213|737202|737205|737207|737203|737214|737211;Москва, Архангельский  пер., д. 1;офис 306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23215;Школа английского языка Wall Street English;https://www.ucheba.ru/pix/logo_cache/23215.upto100x100.png;<p>С 1972 года мы помогаем людям воплотить их мечты с помощью английского языка. Более 3 миллионов студентов по всему миру выучили английский в центрах Wall Street English.</p>;630938;Москва, ул. Викторенко, д. 5а;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103097;Институт супервизии и групповой терапии;https://www.ucheba.ru/pix/branding/103097/logo.upto100x100.png;"<p>Институт супервизии и групповой терапии создан на базе Психологического Центра ""Здесь и Теперь"". В основу образовательных программ положен 17-летний опыт обучения психологов различным методам психотерапии и консультирования. Институт предлагает психологам и людям без профильного диплома программы дополнительного образования и повышения квалификации. Все программы института доступны в формате онлайн.</p>";712847|714828|735681|735869|740111|735866|686170|712848|700730|686575;Москва, Хитровский пер., д. 3/1с4;;7 965 396-88-30;;7 903 724-80-43;;;;;;;;;;;;;;;;;;;;;;;;;;;
451;Колледж Министерства иностранных дел Российской Федерации;https://www.ucheba.ru/pix/branding/451/logo.upto100x100.png;<p>Колледж МИД России-старейшее учебное заведение, созданное МИД СССР в1932 году. Колледж готовит профессионалов для работы в МИД и его загранучреждениях. В Колледже готовят помощников руководителей, владеющих двумя языками, делопроизводством, стенографией, имеющих общую грамотность и фундаментальные знания, инициативных и здравомыслящих специалистов, умеющих заменить руководителя и принять решение в пределах своей компетенции. Выпускники получают содействие в трудоустройстве.</p>;461074/1|702095;Москва, Озерковская наб., д. 26, стр. 5;вход с улицы Большая Татарская, д.29;7 495 951-04-71;поступление после 9 и 11 кл.;7 495 951-70-86;второе профессиональное образование;7 495 953-08-32;секретариат;;;;;;;;;;;;;;;;;;;;;;;;
12689;Высшая экономическая школа Санкт-Петербургского государственного экономического университета;https://www.ucheba.ru/pix/logo_cache/12689.upto100x100.png;<p>Высшая экономическая школа Санкт-Петербургского государственного экономического университета на сегодняшний день занимает лидирующие позиции в стране. ВЭШ СПБГЭУ неоднократно становилась победителем конкурсов среди образовательных учреждений и отмечалась различными рейтинговыми агентствами. Так, например, по данным EDUNIVERSAL (Париж, Франция) ВЭШ СПбГЭУ в числе 15 российских и трех Санкт-Петербургских бизнес-школ включена в список лучших бизнес-школ мира. 1 июля 2013 года произошло слияние Высшей экономической школы (Финэк) и Института делового администрирования (Инжэкон), что позволило создавать новые интересные программы обучения. ВЭШ предоставляет слушателям возможность доступа к платформе дистанционного обучения СПбГЭУ.</p>;691523|735775|700414|695675|650387|650377|650399|650403|650386|734727|739631|650402|698322|739630|691535|738452|698280|650363|650362|650372|650371|699985|699987|650369|733617|739632|650411|744770|744769|727814;Северо-Западный федеральный округ, Санкт-Петербург, наб. Канала Грибоедова, д. 34;;7 812 314-01-20;помощник директора;7 812 339-04-41;отдел программ повышения квалификации;7 812 310-38-62;отдел программ МВА и профессиональной переподготовки;;;;;;;;;;;;;;;;;;;;;;;;
52305;Факультет дистанционного обучения РЭУ им. Г.В. Плеханова;https://www.ucheba.ru/pix/branding/52305/logo.upto100x100.png;;706794/1|446471/1|688053/1|610706/1|178986/1|706795/1|720561/1|720560/1|446470/1|739888/3|739890/3|699654/3|739889/3|739891/3|446137/3|739818|739823|739820|739825|739827|739822|739819;Москва, Стремянный пер., д. 36;;7 499 236-74-25;;7 499 236-74-45;;;;;;;;;;;;;;;;;;;;;;;;;;;
104115;Межрегиональный центр дополнительного профессионального образования;https://www.ucheba.ru/pix/logo_cache/104115.upto100x100.png;"<p>В учебном центре ""МЦДПО"" создана удобная и эффективная комплексная система обучения и повышения квалификации персонала с применением современных технологий и методических материалов. Основным видом деятельности центра является подготовка, переподготовка и повышение квалификации руководителей и специалистов. Программы обучения центра аккредитованы и соответствуют всем требованиям Министерства образования.</p>";700408|740060|740053|740055|740062|701169|740597|740537|740586|740563|740552|740553|740551|740578|740559|740561|740564|740573|740582|740568|740556|740574|740575|740555|740577|740558|740576|740579|740557|740580;Москва, Волоколамское ш., д. 73;;7 495 268-08-62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11087;Центр компьютерного обучения «Специалист» при МГТУ им. Н.Э. Баумана;https://www.ucheba.ru/pix/branding/11087/logo.upto100x100.png;"<p>Учебный центр ""Специалист"" создан 10 ноября 1991 г. при кафедре ""ЭВМ и системы"" МГТУ им. Н. Э. Баумана. В ассортименте Центра более 1000 обучающих курсов для специалистов и начинающих: компьютерные курсы, подготовка старшеклассников к ЕГЭ, популярные курсы 1С, обучение рисунку, обработке цифровых фотографий, курсы дизайна, курсы 3ds max, курсы autocad, курсы windows server, бухгалтерские курсы, занятия по основам программирования и многое другое. В нашем Центре Вы можете пройти подготовительные курсы обучения и курсы повышения квалификации в очных группах (утром, днем, вечером, по выходным), дистанционно, индивидуально, в режиме вебинара. Центр имеет 9 учебных комплексов в Москве.</p>";630881|618755|705917|705858|705856|668702|668705|705919|698286|669698|685429|705921|690670|685156|662069|685608|685658|685486|705857|666241|685154|697453|685597|669164|677397|717297|724475|732145|715135;Москва, Госпитальный пер., д. 4/6;2-й этаж (Администрация Центра и комплекс Стилобат);7 495 232-32-16;;7 495 780-48-44;корпоративный отдел;;;;;;;;;;;;;;;;;;;;;;;;;;
