ID программы;Форма обучения;Проходной балл бюджет;Проходной балл платное;Мест бюджет;Мест платное;Стоимость;Стоимость, за год;Когда;Срок обучения;График занятий
744412;Дистанционная;;;;;3 500 р.;;в любое время;7 ак. ч;-
737206;Дистанционная;;;;;730 р.;;в любое время;1 ак. ч;-
737251;Дистанционная;;;;;1 500 р.;;в любое время;2 ак. ч;-
736153;Дистанционная;;;;;99 000 р.;;20 авг;8 месяцев;-
712847;Вечерняя;;;;;172 800 р.;;9 сен;12 месяцев;среда, четверг с 18.00 до 22.00, очно/онлайн
740505;Дистанционная;;;;;120 000 р.;;1 сен;2 года, 1040 ак. ч;-
740505;Очно-заочная;;;;;120 000 р.;;1 сен;2 года, 1040 ак. ч;-
729843;Дистанционная;;;;;5 000 р.;;в любое время;3 недели, 72 ак. ч;-
738708;Русскоязычные преподаватели;;;;;580 р.;;в любое время;1 ак. ч;-
738708;Носители английского языка;;;;;1 700 р.;;в любое время;1 ак. ч;-
461074/1;Очная;4.7;;110;;;180 000 р.;-;2 года;
461074/1;Очно-заочная;-;;-;;;108 000 р.;1 сен;2 года;
711569;Заочная;;;;;138 000 р.;;20 авг, 20 авг, 4 сен, 21 сен, 5 окт, 20 окт, 5 ноя, 20 ноя, 4 дек, 21 дек;18 месяцев, 1536 ак. ч;от 20 до 40 часов в неделю
744316;Дистанционная;;;;;7 800 р.;;19 авг, 21 авг;18 ак. ч;-
630938;Дистанционная;;;;;8 000 р.;;в любое время;1 месяц;-
700408;Дистанционная;;;;;8 500 р., 10 000 р.;;в любое время;5 недель, 256 ак. ч;свободный
700408;Дистанционная;;;;;12 800 р., 15 000 р.;;в любое время;10 недель, 512 ак. ч;свободный
701831;Очная;;;;;411 264 р.;;15 сен;3 года, 692 ак. ч;вторник — с 19:00 до 22:00, суббота — с 11:00 до 14:15
691523;Онлайн;;;;;15 500 р.;;10 сен;2 недели, 24 ак. ч;3 раза в неделю по рабочим дням с 18:30 до 21:30 в форме вебинаров
739902;Дистанционная;;;;;990 р.;;в любое время;1 день;-
745291;Очная;;;;;4 400 р.;;по мере набора;1 день, 8 ак. ч;-
706794/1;Очно-заочная;-;;-;;;145 000 р.;1 сен;54 месяца;
630881;Дистанционная;;;;;7 990 р.;;23 авг;14 дней, 36 ак. ч;-
630881;Очная;;;;;7 990 р.;;23 авг;14 дней, 36 ак. ч;-
744409;Дистанционная;;;;;10 000 р.;;в любое время;50 ак. ч;-
719352;Дистанционная;;;;;39 900 р.;;в любое время;40 ак. ч;-
719352;Онлайн-трансляция;;;;;55 500 р.;;7 сен, 7 сен, 12 окт, 16 ноя, 14 дек;5 дней, 40 ак. ч;5 дней онлайн-трансляции c 09.00 до 16.15
719352;Очная;;;;;55 500 р.;;7 сен, 7 сен, 12 окт, 16 ноя, 14 дек;5 дней, 40 ак. ч;5 дней очного обучения c 09.00 до 16.15
737213;Дистанционная;;;;;730 р.;;в любое время;1 ак. ч;-
737254;Дистанционная;;;;;1 500 р.;;в любое время;1 неделя;-
740550;Дистанционная;;;;;120 000 р.;;28 авг;12 месяцев;-
729855;Дистанционная;;;;;5 000 р.;;в любое время;3 недели, 72 ак. ч;-
714828;Группа выходного дня;;;;;11 000 р.;;2 окт, 2 окт, 14 ноя, 26 дек, 6 фев 2021, 20 мар 2021, 8 май 2021, 19 июн 2021, 31 июл 2021, 11 сен 2021;2 дня, 20 ак. ч;"суббота: 10.00 - 18.00, очно; воскресенье: 10.00 - 18.00, очно"
